network_size,exp,tries,time[us]
4000,44,5709,678924376
4000,45,2049,244452679
4000,46,2104,249336906
4000,47,2451,389704106
4000,48,5574,646975868
4000,49,587,104296392
4000,50,1361,172687621
4000,51,5524,651862431
4000,52,607,69147330
4000,53,1396,156608864
4000,54,8389,961313248
4000,55,4311,485896971
4000,56,2799,322975276
4000,57,1633,185373008
4000,58,619,69138306
4000,59,220,24366816
4000,60,1794,201862680
4000,61,4695,541184595
4000,62,8150,920310258
4000,63,1125,125276736
4000,64,16786,1873611480
4000,65,3370,380618840
4000,66,4061,454335264
4000,67,2535,291969808
4000,68,1939,220575474
4000,69,11454,1278337974
4000,70,350,39630961
4000,71,3793,423314388
4000,72,1044,119315259
4000,73,12341,1411410231
4000,74,962,109974088
4000,75,14097,1595770110
4000,76,5527,618764032
4000,77,1071,122126706
4000,78,31,3629228
4000,79,264,30153998
4000,80,988,110887072
4000,81,2890,326598216
4000,82,173,19959658
4000,83,2583,289221690
4000,84,4029,460406336
4000,85,2066,232775331
4000,86,2786,314298390
4000,87,56,7752108
4000,88,1017,115489066
4000,89,356,40076708
4000,90,6669,760158910
4000,91,27,3194280
4000,92,11850,1323934899
4000,93,7580,853294550
4000,94,6428,740314890
4000,95,2174,242957568
4000,96,2193,246175100
4000,97,54,6027520
4000,98,4794,554032380
4000,99,4151,499978309
5000,0,8154,912566840
5000,1,6266,699715224
5000,2,1393,158384576
5000,3,2892,332053975
5000,4,950,106644706
5000,5,2645,300846520
5000,6,1526,173984034
5000,7,7808,872173312
5000,8,22824,2615763570
5000,9,1116,130579416
5000,10,6818,773226888
5000,11,1612,181031436
5000,12,13162,1500572760
5000,13,4574,511282096
5000,14,145,16782759
5000,15,3118,360925455
5000,16,128,14697604
5000,17,3852,430867512
5000,18,1175,130677330
5000,19,2606,298560401
5000,20,5337,599774763
5000,21,163,18211216
5000,22,18909,2172487090
5000,23,5481,619880690
5000,24,2469,276830925
5000,25,887,101980288
5000,26,39855,4482757755
5000,27,14464,1625242844
5000,28,3959,454494210
5000,29,1190,131796842
5000,30,4110,469389934
5000,31,10609,1186910552
5000,32,947,107192905
5000,33,196,21946035
5000,34,5641,639447888
5000,35,95,10715217
5000,36,1292,147125173
5000,37,2391,268583944
5000,38,7865,899650502
5000,39,383,43458675
5000,40,395,45059670
5000,41,9447,1063547472
5000,42,1757,195065550
5000,43,48,5413520
5000,44,3873,442940514
5000,45,8453,953541908
5000,46,1260,143935404
5000,47,31690,3653007575
5000,48,3290,376627266
5000,49,1997,227542500
5000,50,9625,1108929300
5000,51,3623,409414915
5000,52,310,34375034
5000,53,26118,2913443188
5000,54,2838,325518925
5000,55,5045,576618042
5000,56,12143,1386046048
5000,57,1422,162634305
5000,58,5111,589776192
5000,59,698,81054080
5000,60,4599,522737280
5000,61,18441,2051237151
5000,62,3486,458752096
5000,63,2958,330621500
5000,64,1513,173726289
5000,65,2427,278285270
5000,66,20200,2305373322
5000,67,1814,202604460
5000,68,2266,257374068
5000,69,5213,596417220
5000,70,2165,248000550
5000,71,21626,2462058648
5000,72,7178,804896516
5000,73,1775,197148575
5000,74,243,27616092
5000,75,1099,126862014
5000,76,3360,380697174
5000,77,12476,1397888376
5000,78,7550,913346928
5000,79,1055,118041629
5000,80,1106,125238960
5000,81,10517,1210659989
5000,82,6753,765437794
5000,83,931,104313717
5000,84,4737,539193168
5000,85,1254,140869443
5000,86,16626,1875324550
5000,87,8977,1024376816
5000,88,716,83378570
5000,89,2177,247845328
5000,90,18957,2200159500
5000,91,6062,689667606
5000,92,3345,373369952
5000,93,2330,266504112
5000,94,4811,539156896
5000,95,7912,927351950
5000,96,8,1344492
5000,97,70,7988645
5000,98,5984,686719280
5000,99,267,30178707
6000,0,1119,124589365
6000,1,3402,385594158
6000,2,781,86988946
6000,3,2664,298255407
6000,4,10264,1152081036
6000,5,5327,609961598
6000,6,4509,517649904
6000,7,395,45427878
6000,8,16704,1937922084
6000,9,2266,253891737
6000,10,8031,922720302
