network_size,exp,tries,time[us]
4000,70,350,7043
4000,71,3793,76743
4000,72,1044,21189
4000,73,12341,250117
4000,74,962,19544
4000,75,14097,284451
4000,76,5527,111872
4000,77,1071,21723
4000,78,31,646
4000,79,264,5306
4000,80,988,19858
4000,81,2890,59038
4000,82,173,3506
4000,83,2583,52538
4000,84,4029,81952
4000,85,2066,41397
4000,86,2786,56427
4000,87,56,1374
4000,88,1017,20546
4000,89,356,7154
4000,90,6669,134470
4000,91,27,570
4000,92,11850,239713
4000,93,7580,152975
4000,94,6428,130567
4000,95,2174,44142
4000,96,2193,44300
4000,97,54,1088
4000,98,4794,97284
4000,99,4151,88351
5000,0,8154,165380
5000,1,6266,126348
5000,2,1393,28364
5000,3,2892,58615
5000,4,950,19243
5000,5,2645,53560
5000,6,1526,30947
5000,7,7808,157888
5000,8,22824,463295
5000,9,1116,22957
5000,10,6818,137487
5000,11,1612,32867
5000,12,13162,266059
5000,13,4574,92758
5000,14,145,2949
5000,15,3118,63465
5000,16,128,2594
5000,17,3852,78084
5000,18,1175,23482
5000,19,2606,53153
5000,20,5337,108087
5000,21,163,3266
5000,22,18909,386770
5000,23,5481,110891
5000,24,2469,49745
5000,25,887,18056
5000,26,39855,805527
5000,27,14464,291628
5000,28,3959,79890
5000,29,1190,23846
5000,30,4110,83122
5000,31,10609,214012
5000,32,947,18989
5000,33,196,3945
5000,34,5641,114864
5000,35,95,1909
5000,36,1292,26137
5000,37,2391,47893
5000,38,7865,159202
5000,39,383,7685
5000,40,395,8055
5000,41,9447,191148
5000,42,1757,35370
5000,43,48,980
5000,44,3873,78787
5000,45,8453,170641
5000,46,1260,25314
5000,47,31690,643475
5000,48,3290,66849
5000,49,1997,40452
5000,50,9625,194549
5000,51,3623,73385
5000,52,310,6206
5000,53,26118,526748
5000,54,2838,57665
5000,55,5045,102201
5000,56,12143,246452
5000,57,1422,29235
5000,58,5111,104256
5000,59,698,14240
5000,60,4599,93080
5000,61,18441,371803
5000,62,3486,82912
5000,63,2958,60113
5000,64,1513,30591
5000,65,2427,49429
5000,66,20200,407094
5000,67,1814,36420
5000,68,2266,45731
5000,69,5213,106770
5000,70,2165,43925
5000,71,21626,437466
5000,72,7178,145709
5000,73,1775,35683
5000,74,243,4893
5000,75,1099,22327
5000,76,3360,68262
5000,77,12476,252008
5000,78,7550,162633
5000,79,1055,21311
5000,80,1106,22590
5000,81,10517,213257
5000,82,6753,136466
5000,83,931,18819
5000,84,4737,95976
5000,85,1254,25259
5000,86,16626,336925
5000,87,8977,181756
5000,88,716,14905
5000,89,2177,43952
5000,90,18957,387625
5000,91,6062,122673
5000,92,3345,67664
5000,93,2330,46928
5000,94,4811,97532
5000,95,7912,164570
5000,96,8,236
5000,97,70,1435
5000,98,5984,120880
5000,99,267,5421
6000,0,1119,22591
6000,1,3402,69514
6000,2,781,15719
6000,3,2664,53827
6000,4,10264,207657
6000,5,5327,107729
6000,6,4509,91248
6000,7,395,7974
6000,8,16704,340524
6000,9,2266,45771
6000,10,8031,161966
6000,11,1883,37988
6000,12,7804,157390
6000,13,3388,68347
6000,14,1183,24183
6000,15,3215,65267
6000,16,23796,481572
6000,17,8270,170150
6000,18,2681,54305
6000,19,6332,128402
6000,20,12127,245079
6000,21,1815,36670
6000,22,2455,49504
6000,23,2682,54534
6000,24,7259,146647
6000,25,12642,255463
6000,26,9935,200801
6000,27,357,7447
6000,28,5233,106217
6000,29,2761,55983
6000,30,9647,194895
6000,31,9205,186372
6000,32,13626,277214
6000,33,6402,130022
6000,34,2878,58248
6000,35,3852,77926
6000,36,2900,58932
6000,37,470,9816
6000,38,1947,39586
6000,39,244,5078
6000,40,968,20095
6000,41,3671,73968
6000,42,3821,77895
6000,43,11999,247912
6000,44,172,3754
6000,45,4384,88430
6000,46,10444,211480
6000,47,420,8463
6000,48,12510,252499
6000,49,315,6400
6000,50,26063,532081
6000,51,2906,59023
6000,52,8667,175026
6000,53,5372,108930
6000,54,2469,49679
6000,55,10002,202208
6000,56,375,7563
6000,57,5237,106168
6000,58,2562,52168
6000,59,5522,112122
6000,60,1153,23099
6000,61,14991,302333
6000,62,9048,182879
6000,63,4284,86638
6000,64,13047,263950
6000,65,22538,456109
6000,66,405,8367
6000,67,5381,109975
6000,68,8983,181260
6000,69,4843,97999
6000,70,13056,264175
6000,71,3188,64836
6000,72,11874,239916
6000,73,8903,182168
6000,74,1007,20283
6000,75,7172,145006
6000,76,857,17192
6000,77,2474,49941
6000,78,14091,286409
6000,79,6276,127340
6000,80,5955,120268
6000,81,7909,159338
6000,82,8551,172476
6000,83,2759,56186
6000,84,7892,159265
6000,85,14654,296713
6000,86,834,16822
6000,87,9322,191548
6000,88,2561,52859
6000,89,3177,65353
6000,90,13624,283036
6000,91,3095,62924
6000,92,3151,63902
6000,93,1174,24018
6000,94,5629,113972
6000,95,668,13441
6000,96,18069,364185
6000,97,2872,58167
6000,98,459,9418
6000,99,19422,391142
7000,0,3376,68602
7000,1,612,12595
7000,2,8821,178276
7000,3,19978,402743
7000,4,3205,65402
7000,5,21658,437917
7000,6,1153,23170
